logz logzerr logvol nlive logl logwt insert_order
-2.188426773543557210e+05 6.687214770182638404e+02 -3.600000000000002642e-01 4.000000000000000000e+02 -2.172739743994455785e+05 -2.172803271137322590e+05 nan
-2.172803271137322590e+05 9.966661547750488808e+02 -3.625000000000002665e-01 4.000000000000000000e+02 -2.167903674985560647e+05 -2.167967227128427476e+05 nan
-2.167967227128427476e+05 1.050614507147067798e+03 -3.650000000000002687e-01 4.000000000000000000e+02 -2.161320349026470212e+05 -2.161383926169337064e+05 nan
-2.161383926169337064e+05 7.668121613052882140e+02 -3.675000000000002709e-01 4.000000000000000000e+02 -2.151432193823778071e+05 -2.151495795966644946e+05 nan
-2.151495795966644946e+05 1.128985938484119970e+03 -3.700000000000002731e-01 4.000000000000000000e+02 -2.148503127166393679e+05 -2.148566754309260577e+05 nan
-2.148566754309260577e+05 1.096087779963815620e+02 -3.725000000000002753e-01 4.000000000000000000e+02 -2.142685625393376977e+05 -2.142749277536243899e+05 nan
-2.142749277536243899e+05 3.536045144218402356e+02 -3.750000000000002776e-01 4.000000000000000000e+02 -2.123329077659715840e+05 -2.123392754802582785e+05 nan
-2.123392754802582785e+05 8.379997334776051048e+02 -3.775000000000002798e-01 4.000000000000000000e+02 -2.116377179871066473e+05 -2.116440882013933442e+05 nan
-2.116440882013933442e+05 7.372018882672615518e+02 -3.800000000000002820e-01 4.000000000000000000e+02 -2.110964068122397584e+05 -2.111027795265264576e+05 nan
-2.111027795265264576e+05 3.801704300990887759e+02 -3.825000000000002842e-01 4.000000000000000000e+02 -2.110058565015582717e+05 -2.110122317158449732e+05 nan
-2.110122317158449732e+05 3.438231874524608855e+01 -3.850000000000002864e-01 4.000000000000000000e+02 -2.107739547909376561e+05 -2.107803325052243599e+05 nan
-2.107803325052243599e+05 1.090404733404465816e+02 -3.875000000000002887e-01 4.000000000000000000e+02 -2.104217640185050550e+05 -2.104281442327917321e+05 nan
-2.104281442327917321e+05 2.307994349979986168e+02 -3.900000000000002909e-01 4.000000000000000000e+02 -2.094153082638019405e+05 -2.094216909780886199e+05 nan
-2.094216909780886199e+05 4.983820856387952176e+02 -3.925000000000002931e-01 4.000000000000000000e+02 -2.089329302957775653e+05 -2.089393155100642471e+05 nan
-2.089393155100642471e+05 6.078137354255824221e+02 -3.950000000000002953e-01 4.000000000000000000e+02 -2.082273784790535574e+05 -2.082337661933402414e+05 nan
-2.082337661933402414e+05 5.376015771314855556e+02 -3.975000000000002975e-01 4.000000000000000000e+02 -2.076610079663913639e+05 -2.076673981806780503e+05 nan
-2.076673981806780503e+05 6.121754246282932854e+02 -4.000000000000002998e-01 4.000000000000000000e+02 -2.074312273098231817e+05 -2.074376200241098704e+05 nan
-2.074376200241098704e+05 4.056739942683621507e+02 -4.025000000000003020e-01 4.000000000000000000e+02 -2.058197743732063391e+05 -2.058261695874930301e+05 nan
-2.058261695874930301e+05 1.010048451650075435e+03 -4.050000000000003042e-01 4.000000000000000000e+02 -2.055032456119130948e+05 -2.055096433261997881e+05 nan
-2.055096433261997881e+05 5.267997591736236700e+02 -4.075000000000003064e-01 4.000000000000000000e+02 -2.054310387902024377e+05 -2.054374390044891334e+05 nan
-2.054374390044891334e+05 1.068290358103598123e+02 -4.100000000000003086e-01 4.000000000000000000e+02 -2.052155350140752271e+05 -2.052219377283619251e+05 nan
-2.052219377283619251e+05 1.774403900813553037e+02 -4.125000000000003109e-01 4.000000000000000000e+02 -2.048090602245666669e+05 -2.048154654388533672e+05 nan
-2.048154654388533672e+05 1.512983013215684878e+02 -4.150000000000003131e-01 4.000000000000000000e+02 -2.043207379410691792e+05 -2.043271456553558819e+05 nan
-2.043271456553558819e+05 3.453634249932107991e+02 -4.175000000000003153e-01 4.000000000000000000e+02 -2.041806339456269634e+05 -2.041870441599136684e+05 nan
-2.041870441599136684e+05 3.177981135018332566e+02 -4.200000000000003175e-01 4.000000000000000000e+02 -2.040394849855349457e+05 -2.040458976998216240e+05 nan
-2.040458976998216240e+05 3.652785685122952373e+02 -4.225000000000003197e-01 4.000000000000000000e+02 -2.037062802262919431e+05 -2.037126954405786237e+05 nan
-2.037126954405786237e+05 1.673068116983201605e+02 -4.250000000000003220e-01 4.000000000000000000e+02 -2.035136241766870371e+05 -2.035200418909737200e+05 nan
-2.035200418909737200e+05 8.388307613262642803e+01 -4.275000000000003242e-01 4.000000000000000000e+02 -2.030976886822819652e+05 -2.031041088965686504e+05 nan
-2.031041088965686504e+05 2.050610064377821971e+02 -4.300000000000003264e-01 4.000000000000000000e+02 -2.026111135262488970e+05 -2.026175362405355845e+05 nan
