gamma delta nu_max
4.811829700160021872e-01 4.056436056421731884e+00 1.062593912952921471e+01
4.909659723384951491e-01 3.441910893395042415e+00 4.084217727131041187e+01
4.350107733624011264e-01 3.431746605873515765e+00 5.727258708322460734e+01
4.251433193247309283e-01 3.517219904229327287e+00 7.198792932933451993e+01
5.303169844390496213e-01 3.932877071124041723e+00 8.756403033868750185e+01
4.055458968728737901e-01 3.488612390031023303e+00 4.312909025579135402e+01
3.178975361903788599e-01 3.149322381739320331e+00 9.875934641237563483e+00
4.271184973286314968e-01 3.144212540158343394e+00 9.007525772747726478e+01
4.342621784551938813e-01 3.367518885085450719e+00 3.852394732521784704e+01
5.395864244641874752e-01 4.011080254523102795e+00 6.789143423160899715e+01
4.225056997600369346e-01 3.442200262991081949e+00 5.079191931696785645e+01
4.770761799207265952e-01 3.275262654299038623e+00 5.543945588689093995e+01
3.265951300717180317e-01 3.095517499825652941e+00 2.430865365200333628e+01
3.178975361903788599e-01 3.149322381739320331e+00 9.875934641237563483e+00
5.066303253774434578e-01 3.756393716734082844e+00 1.471303953579228363e+01
4.805823594884575112e-01 3.524740188931618334e+00 4.584915774108338127e+01
4.969715412825930212e-01 3.792672645253909458e+00 2.833505795870042832e+01
5.461275189331624702e-01 4.079320610082494802e+00 6.636882260106578713e+01
4.701950213436130177e-01 3.696625479186772090e+00 7.534791093695744735e+01
4.998843559341841214e-01 3.542887813340248826e+00 1.022259113326720978e+02
5.016481988431281680e-01 3.677699192995019573e+00 7.924449794459225416e+01
4.352962399386948178e-01 3.473576925224509893e+00 7.965712497585244023e+01
5.596719102683282987e-01 4.368419479057492616e+00 2.648629258933931396e+01
3.934254699758577001e-01 2.938651301754974909e+00 3.821855761920637917e+01
4.479304598233493362e-01 3.689241651067421746e+00 5.564282841437150751e+01
4.437742389659422582e-01 3.449573885172201759e+00 7.047527291906310154e+01
4.399379838253998365e-01 3.215068422594424380e+00 6.749934533528629288e+01
4.490621170659672146e-01 3.787477054984897062e+00 1.972215290714964198e+01
5.221069751940644599e-01 3.806849185874794816e+00 2.741585396652995144e+01
4.918183729964735740e-01 3.756683976820019311e+00 7.772113259757307446e+01
